line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89
18,2026-08-18T10:07:08.522358,1,2.739,1,LF75OOH,LF75OPW,0,0,0,0,0,0,0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,29.615,1,LF75ORL,LF75OOU,LF75ONU,0,0,0,0,0,0,548.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,21.406,1,LF75OOU,LF75ONU,LF75ORK,0,0,0,0,0,0,151.0,410.7,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,28.63,1,LF75ONU,LF75ORK,LF75OPX,0,0,0,0,0,0,410.7,73.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,28.661,1,LF75ORK,LF75OPX,LF75OOH,0,0,0,0,0,0,73.0,411.5,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,32.545,1,LF75OPX,LF75OOH,LF75OPW,0,0,0,0,0,0,411.5,31.3,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,30.012,1,LF75OOH,LF75OPW,LF75OPP,0,0,0,0,0,0,31.3,271.5,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,17.226,1,LF75OPW,LF75OPP,LF75OPU,0,0,0,0,0,0,271.5,176.5,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,16.784,1,LF75OPP,LF75OPU,LF75ONM,0,0,0,0,0,0,176.5,303.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,8.609,1,LF75OPU,LF75ONM,LF75OPG,0,0,0,0,0,0,303.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,7.96,1,LF75ONM,LF75OPG,LF75OOY,0,0,0,0,0,0,273.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,28.284,1,LF75OOY,LF75OPM,LF75OPR,0,0,0,0,0,0,360.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,23.863,1,LF75ONW,LF75ONL,LF75OOA,0,0,0,0,0,0,280.6,99.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,28.644,1,LF75ONL,LF75OOA,LF75OPK,0,0,0,0,0,0,99.0,463.4,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,22.939,1,LF75OOA,LF75OPK,LF75OPA,0,0,0,0,0,0,463.4,164.1,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,19.753,1,LF75OPK,LF75OPA,LF75ORA,0,0,0,0,0,0,164.1,400.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,24.103,1,LF75OPA,LF75ORA,LF75OPD,0,0,0,0,0,0,400.0,622.7,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,26.038,1,LF75ORA,LF75OPD,LF75OPY,0,0,0,0,0,0,622.7,318.1,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,20.399,1,LF75OPD,LF75OPY,LF75OOE,0,0,0,0,0,0,318.1,137.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,23.38,1,LF75OPY,LF75OOE,LF75OPS,0,0,0,0,0,0,137.0,182.3,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,30.283,1,LF75OOE,LF75OPS,LF75ONV,0,0,0,0,0,0,182.3,586.8,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,21.638,1,LF75OPS,LF75ONV,LF75ONJ,0,0,0,0,0,0,586.8,350.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,5.497,1,LF75ONV,LF75ONJ,LF75OPN,0,0,0,0,0,0,350.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-08-18T10:07:08.522358,2,6.928,1,LF75ONJ,LF75OPN,LF75OOV,0,0,0,0,0,0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,1,3.323,1,LTZ1034,LTZ1603,0,0,0,0,0,0,0,758.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,1,3.91,1,LTZ1025,LTZ1162,0,0,0,0,0,0,0,829.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,1,3.163,1,LTZ1605,LTZ1614,0,0,0,0,0,0,0,739.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,2,36.7,1,LTZ1631,LTZ1034,LTZ1603,0,0,0,0,0,0,410.5,758.8,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,2,37.339,1,LTZ1034,LTZ1603,LTZ1624,0,0,0,0,0,0,758.8,547.7,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,2,18.102,1,LTZ1603,LTZ1624,LTZ1161,0,0,0,0,0,0,547.7,345.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,2,25.206,1,LTZ1624,LTZ1161,LTZ1623,0,0,0,0,0,0,345.0,623.2,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,2,28.893,1,LTZ1161,LTZ1623,LTZ1168,0,0,0,0,0,0,623.2,596.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,2,21.207,1,LTZ1168,LTZ1164,LTZ1025,0,0,0,0,0,0,310.3,567.3,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,2,43.664,1,LTZ1164,LTZ1025,LTZ1162,0,0,0,0,0,0,567.3,829.2,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,2,48.971,1,LTZ1025,LTZ1162,LTZ1611,0,0,0,0,0,0,829.2,225.5,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,2,13.208,1,LTZ1162,LTZ1611,LTZ1605,0,0,0,0,0,0,225.5,378.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-08-18T10:07:08.522358,2,35.394,1,LTZ1611,LTZ1605,LTZ1614,0,0,0,0,0,0,378.0,739.5,0.0,0.0,0.0,0.0,0.0,0.0
25,2026-08-18T10:07:08.522358,1,2.944,1,SK20AZC,SK20BDO,0,0,0,0,0,0,0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2026-08-18T10:07:08.522358,1,2.467,1,SK20AYD,SK20AYL,0,0,0,0,0,0,0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2026-08-18T10:07:08.522358,1,5.175,1,SK20AXY,SK20BBE,0,0,0,0,0,0,0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2026-08-18T10:07:08.522358,2,32.515,1,SK20BCE,SK20AZC,SK20BDO,0,0,0,0,0,0,315.5,6.7,0.0,0.0,0.0,0.0,0.0,0.0
25,2026-08-18T10:07:08.522358,2,35.821,1,SK20AZC,SK20BDO,SK20AYZ,0,0,0,0,0,0,6.7,437.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2026-08-18T10:07:08.522358,2,23.537,1,SK20BDO,SK20AYZ,SK20BCZ,0,0,0,0,0,0,437.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0
