line,datetime,bus,vehicleId,destination,direction,stop,estimateArrive,DistanceBus,lat,lon
18,2026-08-18T11:52:40.386127,LF75OOV,LF75OOV,Euston,1,490005720E,1470,7350.0,51.54073,-0.25526
18,2026-08-18T11:52:40.386127,LF75OPR,LF75OPR,Sudbury,2,490010567H,1360,6800.0,51.5205,-0.16651
18,2026-08-18T11:52:40.386127,LF75ONM,LF75ONM,Sudbury,2,490007803X,1715,8575.0,51.53603,-0.24771
18,2026-08-18T11:52:40.386127,LF75ONJ,LF75ONJ,Euston,1,490000122E,1720,8600.0,51.53014,-0.2248
18,2026-08-18T11:52:40.386127,LF75OOU,LF75OOU,Sudbury,2,490004335F,743,3715.0,51.55237,-0.31282
18,2026-08-18T11:52:40.386127,LF75ORK,LF75ORK,Sudbury,2,490006299B,1113,5565.0,51.55221,-0.30153
18,2026-08-18T11:52:40.386127,LF75OPV,LF75OPV,Euston,1,490000077AZ,1806,9030.0,51.52666,-0.1329
18,2026-08-18T11:52:40.386127,LF75OOV,LF75OOV,Euston,1,490014315N1,846,4230.0,51.55263,-0.28485
18,2026-08-18T11:52:40.386127,LF75ONM,LF75ONM,Sudbury,2,490012788W,1153,5765.0,51.53009,-0.22727
18,2026-08-18T11:52:40.386127,LF75ORA,LF75ORA,Euston,1,490005320E,226,1130.0,51.52088,-0.19182
18,2026-08-18T11:52:40.386127,LF75OPN,LF75OPN,Euston,1,490012803E,1268,6340.0,51.53919,-0.25126
18,2026-08-18T11:52:40.386127,LF75ONJ,LF75ONJ,Euston,1,490012847E,643,3215.0,51.56001,-0.26468
18,2026-08-18T11:52:40.386127,LF75ONJ,LF75ONJ,Euston,1,490014387E2,163,815.0,51.55361,-0.28835
18,2026-08-18T11:52:40.386127,LF75OOY,LF75OOY,Sudbury,2,490007666W,1412,7060.0,51.52633,-0.20684
18,2026-08-18T11:52:40.386127,LF75ONM,LF75ONM,Sudbury,2,490000196W,416,2080.0,51.51959,-0.18938
18,2026-08-18T11:52:40.386127,LF75OPK,LF75OPK,Sudbury,2,490000077H,1712,8560.0,51.52651,-0.13289
18,2026-08-18T11:52:40.386127,LF75OPP,LF75OPP,Sudbury,2,490003444W,156,780.0,51.52481,-0.20289
18,2026-08-18T11:52:40.386127,LF75OPM,LF75OPM,Sudbury,2,490007666W,1685,8425.0,51.52633,-0.20684
18,2026-08-18T11:52:40.386127,LF75OOV,LF75OOV,Euston,1,490012803E,1568,7840.0,51.53919,-0.25126
18,2026-08-18T11:52:40.386127,LF75ORH,LF75ORH,Sudbury,2,4900020147W,1599,7995.0,51.52522,-0.13671
18,2026-08-18T11:52:40.386127,LF75OPG,LF75OPG,Sudbury,2,490008711V,1241,6205.0,51.52748,-0.21496
18,2026-08-18T11:52:40.386127,LF75OOH,LF75OOH,Sudbury,2,490005583W,1805,9025.0,51.55157,-0.30754
18,2026-08-18T11:52:40.386127,LF75OOY,LF75OOY,Sudbury,2,490000122W,1672,8360.0,51.52984,-0.22353
18,2026-08-18T11:52:40.386127,LF75ONM,LF75ONM,Sudbury,2,490007666W,845,4225.0,51.52633,-0.20684
