line,direction,stop,bus,datetime,estimateArrive
25,2026-08-17T18:13:41.530505,20,SK20AXY,"Ilford, Hainault Street",490009873D,7,35
18,2026-08-17T18:13:41.530505,75,LF75OPA,Euston,490000256F,10,50
24,2026-08-17T18:13:41.530505,1684,LTZ1684,Hampstead Heath,490014495R,12,60
73,2026-08-17T18:13:41.530505,1209,LTZ1209,Oxford Circus,490015396S,27,135
73,2026-08-17T18:13:41.530505,1523,LTZ1523,"Stoke Newington, Common",490014603U,28,140
24,2026-08-17T18:13:41.530505,1025,LTZ1025,Pimlico,490015048T,33,165
24,2026-08-17T18:13:41.530505,1038,LTZ1038,Pimlico,490011168S2,34,170
73,2026-08-17T18:13:41.530505,1526,LTZ1526,"Stoke Newington, Common",490010515N,37,185
73,2026-08-17T18:13:41.530505,1517,LTZ1517,Oxford Circus,490000078P,37,185
73,2026-08-17T18:13:41.530505,1538,LTZ1538,"Stoke Newington, Common",490000077D,37,185
73,2026-08-17T18:13:41.530505,1491,LTZ1491,"Stoke Newington, Common",490010689OJ,43,215
73,2026-08-17T18:13:41.530505,1833,LTZ1833,"Stoke Newington, Common",490015700C,46,230
24,2026-08-17T18:13:41.530505,1622,LTZ1622,Hampstead Heath,490000252X,53,265
24,2026-08-17T18:13:41.530505,1169,LTZ1169,Hampstead Heath,490004714J,54,270
73,2026-08-17T18:13:41.530505,2180,LTZ2180,"Stoke Newington, Common",490010427D,70,350
73,2026-08-17T18:13:41.530505,1519,LTZ1519,"Stoke Newington, Common",490008515C,73,365
73,2026-08-17T18:13:41.530505,1827,LTZ1827,"Stoke Newington, Common",490000089A,76,380
73,2026-08-17T18:13:41.530505,1499,LTZ1499,Oxford Circus,490005904W,79,395
73,2026-08-17T18:13:41.530505,1204,LTZ1204,Oxford Circus,490000007F,82,410
24,2026-08-17T18:13:41.530505,1156,LTZ1156,Pimlico,490011004W,85,425
24,2026-08-17T18:13:41.530505,1272,LTZ1272,Hampstead Heath,490011003E,86,430
24,2026-08-17T18:13:41.530505,1607,LTZ1607,Pimlico,490000235GX,89,445
73,2026-08-17T18:13:41.530505,1826,LTZ1826,Oxford Circus,490010689KB,96,480
24,2026-08-17T18:13:41.530505,1784,LTZ1784,Hampstead Heath,490004695A,96,480
24,2026-08-17T18:13:41.530505,1162,LTZ1162,Pimlico,490011330S,96,480
73,2026-08-17T18:13:41.530505,1815,LTZ1815,"Stoke Newington, Common",490000129E,97,485
24,2026-08-17T18:13:41.530505,1786,LTZ1786,Pimlico,490000152C,104,520
73,2026-08-17T18:13:41.530505,1743,LTZ1743,"Stoke Newington, Common",490000235C,166,830
73,2026-08-17T18:13:41.530505,1821,LTZ1821,Oxford Circus,490000077H,175,875
73,2026-08-17T18:13:41.530505,1476,LTZ1476,Oxford Circus,490012837K,204,1020
24,2026-08-17T18:13:41.530505,1640,LTZ1640,Hampstead Heath,490014496N,206,1030
24,2026-08-17T18:13:41.530505,1027,LTZ1027,Hampstead Heath,490007876O,209,1045
24,2026-08-17T18:13:41.530505,1628,LTZ1628,Pimlico,490010260SD,334,1670
24,2026-08-17T18:13:41.530505,1166,LTZ1166,Pimlico,490012280A,416,2080
73,2026-08-17T18:13:41.530505,1534,LTZ1534,Oxford Circus,490012837K,564,2820
73,2026-08-17T18:13:41.530505,1835,LTZ1835,"Stoke Newington, Common",490010689OJ,837,4185
73,2026-08-17T18:13:41.530505,1529,LTZ1529,Oxford Circus,490012837K,924,4620
24,2026-08-17T18:13:41.530505,1690,LTZ1690,Pimlico,490012280A,1082,5410
73,2026-08-17T18:13:41.530505,1212,LTZ1212,Oxford Circus,490012837K,1284,6420
24,2026-08-17T18:14:11.206406,1025,LTZ1025,Pimlico,490015048T,4,20
25,2026-08-17T18:14:11.206406,20,SK20BBV,"City Thameslink, Holborn Viaduct",490006936W,4,20
24,2026-08-17T18:14:11.206406,1038,LTZ1038,Pimlico,490011168S2,5,25
18,2026-08-17T18:14:11.206406,75,LF75OOY,Euston,490000091H,6,30
73,2026-08-17T18:14:11.206406,1517,LTZ1517,Oxford Circus,490000078P,8,40
73,2026-08-17T18:14:11.206406,1833,LTZ1833,"Stoke Newington, Common",490015700C,17,85
24,2026-08-17T18:14:11.206406,1622,LTZ1622,Hampstead Heath,490000252X,24,120
73,2026-08-17T18:14:11.206406,1519,LTZ1519,"Stoke Newington, Common",490008515C,44,220
73,2026-08-17T18:14:11.206406,1827,LTZ1827,"Stoke Newington, Common",490000089A,47,235
73,2026-08-17T18:14:11.206406,1499,LTZ1499,Oxford Circus,490005904W,50,250
24,2026-08-17T18:14:11.206406,1784,LTZ1784,Hampstead Heath,490004695A,54,270
24,2026-08-17T18:14:11.206406,1169,LTZ1169,Hampstead Heath,490004714J,55,275
24,2026-08-17T18:14:11.206406,1272,LTZ1272,Hampstead Heath,490011003E,57,285
24,2026-08-17T18:14:11.206406,1162,LTZ1162,Pimlico,490011330S,67,335
73,2026-08-17T18:14:11.206406,1815,LTZ1815,"Stoke Newington, Common",490000129E,68,340
73,2026-08-17T18:14:11.206406,1209,LTZ1209,Oxford Circus,490003915S,72,360
73,2026-08-17T18:14:11.206406,2180,LTZ2180,"Stoke Newington, Common",490010427D,73,365
24,2026-08-17T18:14:11.206406,1786,LTZ1786,Pimlico,490000152C,75,375
24,2026-08-17T18:14:11.206406,1156,LTZ1156,Pimlico,490011004W,77,385
73,2026-08-17T18:14:11.206406,1204,LTZ1204,Oxford Circus,490000007F,84,420
73,2026-08-17T18:14:11.206406,1491,LTZ1491,"Stoke Newington, Common",490010689OJ,90,450
73,2026-08-17T18:14:11.206406,1523,LTZ1523,"Stoke Newington, Common",490000007X,90,450
24,2026-08-17T18:14:11.206406,1607,LTZ1607,Pimlico,490000235GX,91,455
73,2026-08-17T18:14:11.206406,1526,LTZ1526,"Stoke Newington, Common",490003569N1,97,485
73,2026-08-17T18:14:11.206406,1826,LTZ1826,Oxford Circus,490010689KB,124,620
73,2026-08-17T18:14:11.206406,1743,LTZ1743,"Stoke Newington, Common",490000235C,137,685
73,2026-08-17T18:14:11.206406,1821,LTZ1821,Oxford Circus,490000077H,146,730
73,2026-08-17T18:14:11.206406,1476,LTZ1476,Oxford Circus,490012837K,175,875
24,2026-08-17T18:14:11.206406,1640,LTZ1640,Hampstead Heath,490014496N,177,885
24,2026-08-17T18:14:11.206406,1027,LTZ1027,Hampstead Heath,490007876O,180,900
73,2026-08-17T18:14:11.206406,1538,LTZ1538,"Stoke Newington, Common",490015700C,198,990
24,2026-08-17T18:14:11.206406,1684,LTZ1684,Hampstead Heath,490015048A,302,1510
24,2026-08-17T18:14:11.206406,1628,LTZ1628,Pimlico,490010260SD,305,1525
24,2026-08-17T18:14:11.206406,1166,LTZ1166,Pimlico,490012280A,387,1935
73,2026-08-17T18:14:11.206406,1534,LTZ1534,Oxford Circus,490012837K,535,2675
73,2026-08-17T18:14:11.206406,1835,LTZ1835,"Stoke Newington, Common",490010689OJ,808,4040
73,2026-08-17T18:14:11.206406,1529,LTZ1529,Oxford Circus,490012837K,895,4475
24,2026-08-17T18:14:11.206406,1690,LTZ1690,Pimlico,490012280A,1053,5265
73,2026-08-17T18:14:11.206406,1212,LTZ1212,Oxford Circus,490012837K,1255,6275
25,2026-08-17T18:14:56.968072,20,SK20AYB,"City Thameslink, Holborn Viaduct",490008465L,2,10
24,2026-08-17T18:14:56.968072,1784,LTZ1784,Hampstead Heath,490004695A,8,40
18,2026-08-17T18:14:56.968072,75,LF75OPC,Sudbury,490008865W,9,45
73,2026-08-17T18:14:56.968072,1827,LTZ1827,"Stoke Newington, Common",490000089A,17,85
73,2026-08-17T18:14:56.968072,1815,LTZ1815,"Stoke Newington, Common",490000129E,21,105
73,2026-08-17T18:14:56.968072,2180,LTZ2180,"Stoke Newington, Common",490010427D,26,130
24,2026-08-17T18:14:56.968072,1156,LTZ1156,Pimlico,490011004W,31,155
24,2026-08-17T18:14:56.968072,1272,LTZ1272,Hampstead Heath,490011003E,36,180
73,2026-08-17T18:14:56.968072,1526,LTZ1526,"Stoke Newington, Common",490003569N1,38,190
24,2026-08-17T18:14:56.968072,1169,LTZ1169,Hampstead Heath,490004714J,42,210
24,2026-08-17T18:14:56.968072,1607,LTZ1607,Pimlico,490000235GX,45,225
73,2026-08-17T18:14:56.968072,1519,LTZ1519,"Stoke Newington, Common",490010709N,49,245
73,2026-08-17T18:14:56.968072,1517,LTZ1517,Oxford Circus,4900020147W,60,300
73,2026-08-17T18:14:56.968072,1826,LTZ1826,Oxford Circus,490010689KB,77,385
24,2026-08-17T18:14:56.968072,1162,LTZ1162,Pimlico,490011330S2,81,405
73,2026-08-17T18:14:56.968072,1499,LTZ1499,Oxford Circus,490001172X,89,445
73,2026-08-17T18:14:56.968072,1491,LTZ1491,"Stoke Newington, Common",490010689OJ,89,445
73,2026-08-17T18:14:56.968072,1209,LTZ1209,Oxford Circus,490003569S2,93,465
73,2026-08-17T18:14:56.968072,1523,LTZ1523,"Stoke Newington, Common",490000007X,94,470
73,2026-08-17T18:14:56.968072,1204,LTZ1204,Oxford Circus,490000007F,100,500
24,2026-08-17T18:14:56.968072,1622,LTZ1622,Hampstead Heath,490000252S,103,515
24,2026-08-17T18:14:56.968072,1038,LTZ1038,Pimlico,490000152C,116,580
73,2026-08-17T18:14:56.968072,1833,LTZ1833,"Stoke Newington, Common",490000129E,120,600
73,2026-08-17T18:14:56.968072,1476,LTZ1476,Oxford Circus,490012837K,128,640
24,2026-08-17T18:14:56.968072,1027,LTZ1027,Hampstead Heath,490007876O,134,670
73,2026-08-17T18:14:56.968072,1743,LTZ1743,"Stoke Newington, Common",490000235C,137,685
73,2026-08-17T18:14:56.968072,1538,LTZ1538,"Stoke Newington, Common",490015700C,151,755
24,2026-08-17T18:14:56.968072,1640,LTZ1640,Hampstead Heath,490014496N,161,805
24,2026-08-17T18:14:56.968072,1786,LTZ1786,Pimlico,490012158S,161,805
24,2026-08-17T18:14:56.968072,1628,LTZ1628,Pimlico,490010260SD,185,925
73,2026-08-17T18:14:56.968072,1821,LTZ1821,Oxford Circus,490000077H,188,940
24,2026-08-17T18:14:56.968072,1684,LTZ1684,Hampstead Heath,490015048A,310,1550
24,2026-08-17T18:14:56.968072,1166,LTZ1166,Pimlico,490012280A,341,1705
24,2026-08-17T18:14:56.968072,1025,LTZ1025,Pimlico,490010260SD,358,1790
73,2026-08-17T18:14:56.968072,1534,LTZ1534,Oxford Circus,490012837K,488,2440
73,2026-08-17T18:14:56.968072,1835,LTZ1835,"Stoke Newington, Common",490010689OJ,761,3805
73,2026-08-17T18:14:56.968072,1529,LTZ1529,Oxford Circus,490012837K,848,4240
24,2026-08-17T18:14:56.968072,1690,LTZ1690,Pimlico,490012280A,1007,5035
73,2026-08-17T18:14:56.968072,1212,LTZ1212,Oxford Circus,490012837K,1208,6040
18,2026-08-17T18:15:42.703828,75,LF75OOG,Sudbury,490005720W,2,10
73,2026-08-17T18:15:42.703828,1519,LTZ1519,"Stoke Newington, Common",490010709N,4,20
25,2026-08-17T18:15:42.703828,20,SK20BCZ,"Ilford, Hainault Street",490013480E,6,30
24,2026-08-17T18:15:42.703828,1784,LTZ1784,Hampstead Heath,490004695A,8,40
73,2026-08-17T18:15:42.703828,1517,LTZ1517,Oxford Circus,4900020147W,15,75
24,2026-08-17T18:15:42.703828,1156,LTZ1156,Pimlico,490011004W,31,155
24,2026-08-17T18:15:42.703828,1272,LTZ1272,Hampstead Heath,490011003E,36,180
24,2026-08-17T18:15:42.703828,1169,LTZ1169,Hampstead Heath,490004714J,42,210
73,2026-08-17T18:15:42.703828,1491,LTZ1491,"Stoke Newington, Common",490010689OJ,44,220
24,2026-08-17T18:15:42.703828,1607,LTZ1607,Pimlico,490000235GX,45,225
73,2026-08-17T18:15:42.703828,1209,LTZ1209,Oxford Circus,490003569S2,48,240
73,2026-08-17T18:15:42.703828,1523,LTZ1523,"Stoke Newington, Common",490000007X,49,245
