line,datetime,direction,busA,busB,hw_pos,headway,busA_ttls,busB_ttls
18,2026-08-18T09:57:28.970862,1,LF75OPW,LF75OPT,1,0.0,7.0,7.0
18,2026-08-18T09:57:28.970862,1,LF75OPT,LF75OPP,2,13.0,7.0,20.0
18,2026-08-18T09:57:28.970862,1,LF75OPP,LF75ONP,3,10.0,20.0,30.0
18,2026-08-18T09:57:28.970862,1,LF75ONP,LF75ONH,4,2.0,30.0,32.0
18,2026-08-18T09:57:28.970862,1,LF75ONH,LF75OPC,5,3.0,32.0,35.0
18,2026-08-18T09:57:28.970862,1,LF75OPC,LF75OPU,6,18.0,35.0,53.0
18,2026-08-18T09:57:28.970862,1,LF75OPU,LF75OOV,7,1.0,53.0,54.0
18,2026-08-18T09:57:28.970862,1,LF75OOV,LF75OPE,8,5.0,54.0,59.0
18,2026-08-18T09:57:28.970862,1,LF75OPE,LF75OPX,9,1.0,59.0,60.0
18,2026-08-18T09:57:28.970862,1,LF75OPX,LF75ORL,10,26.0,60.0,86.0
18,2026-08-18T09:57:28.970862,1,LF75ORL,LF75OOH,11,21.0,86.0,107.0
18,2026-08-18T09:57:28.970862,1,LF75OOH,LF75ONU,12,5.0,107.0,112.0
18,2026-08-18T09:57:28.970862,1,LF75ONU,LF75ORK,13,8.0,112.0,120.0
18,2026-08-18T09:57:28.970862,1,LF75ORK,LF75OOU,14,6.0,120.0,126.0
18,2026-08-18T09:57:28.970862,1,LF75OOU,LF75ONM,15,173.0,126.0,299.0
18,2026-08-18T09:57:28.970862,1,LF75ONM,LF75OPG,16,360.0,299.0,659.0
18,2026-08-18T09:57:28.970862,1,LF75OPG,LF75OOY,17,300.0,659.0,959.0
18,2026-08-18T09:57:28.970862,2,LF75OPV,LF75ONL,1,3.0,17.0,20.0
18,2026-08-18T09:57:28.970862,2,LF75ONL,LF75ONW,2,12.0,20.0,32.0
18,2026-08-18T09:57:28.970862,2,LF75ONW,LF75OPA,3,3.0,32.0,35.0
18,2026-08-18T09:57:28.970862,2,LF75OPA,LF75ORA,4,6.0,35.0,41.0
18,2026-08-18T09:57:28.970862,2,LF75ORA,LF75OPK,5,12.0,41.0,53.0
18,2026-08-18T09:57:28.970862,2,LF75OPK,LF75OPR,6,24.0,53.0,77.0
18,2026-08-18T09:57:28.970862,2,LF75OPR,LF75OOA,7,11.0,77.0,88.0
18,2026-08-18T09:57:28.970862,2,LF75OOA,LF75OPD,8,17.0,88.0,105.0
18,2026-08-18T09:57:28.970862,2,LF75OPD,LF75OPY,9,3.0,105.0,108.0
18,2026-08-18T09:57:28.970862,2,LF75OPY,LF75OPM,10,6.0,108.0,114.0
18,2026-08-18T09:57:28.970862,2,LF75OPM,LF75ORH,11,9.0,114.0,123.0
18,2026-08-18T09:57:28.970862,2,LF75ORH,LF75OOE,12,10.0,123.0,133.0
18,2026-08-18T09:57:28.970862,2,LF75OOE,LF75ORC,13,3.0,133.0,136.0
18,2026-08-18T09:57:28.970862,2,LF75ORC,LF75OPS,14,225.0,136.0,361.0
18,2026-08-18T09:57:28.970862,2,LF75OPS,LF75OPL,15,240.0,361.0,601.0
18,2026-08-18T09:57:28.970862,2,LF75OPL,LF75ONV,16,300.0,601.0,901.0
18,2026-08-18T09:57:28.970862,2,LF75ONV,LF75ONJ,17,300.0,901.0,1201.0
18,2026-08-18T09:57:28.970862,2,LF75ONJ,LF75OPN,18,300.0,1201.0,1501.0
24,2026-08-18T09:57:28.970862,1,LTZ1631,LTZ1624,1,2.0,11.0,13.0
