line_sn,line_id,direction,lat,lon,sequence
18,18,1,51.55384,-0.31436,0
18,18,1,51.55189,-0.31017,1
18,18,1,51.55196,-0.305,2
18,18,1,51.55222,-0.30078,3
18,18,1,51.55243,-0.29755,4
18,18,1,51.55365,-0.29214,5
18,18,1,51.55361,-0.28835,6
18,18,1,51.55263,-0.28485,7
18,18,1,51.55002,-0.28149,8
18,18,1,51.54844,-0.27851,9
18,18,1,51.54724,-0.27529,10
18,18,1,51.54555,-0.27298,11
18,18,1,51.54374,-0.27097,12
18,18,1,51.54301,-0.26931,13
18,18,1,51.54125,-0.26051,15
18,18,1,51.54141,-0.25779,16
18,18,1,51.54073,-0.25526,17
18,18,1,51.53919,-0.25126,18
18,18,1,51.53713,-0.24627,19
18,18,1,51.53438,-0.24225,20
18,18,1,51.53243,-0.2362,21
18,18,1,51.53138,-0.23133,22
18,18,1,51.53064,-0.22896,23
18,18,1,51.53014,-0.2248,24
18,18,1,51.52913,-0.22037,25
18,18,1,51.52828,-0.21676,26
18,18,1,51.52716,-0.21291,27
18,18,1,51.52675,-0.20902,28
18,18,1,51.52571,-0.20437,29
18,18,1,51.5247,-0.20251,30
18,18,1,51.52364,-0.19862,31
18,18,1,51.52276,-0.19414,32
18,18,1,51.52088,-0.19182,33
18,18,1,51.51991,-0.18942,34
18,18,1,51.51976,-0.18558,35
18,18,1,51.52042,-0.17928,36
18,18,1,51.52013,-0.17151,37
18,18,1,51.52023,-0.169,38
18,18,1,51.52137,-0.16235,39
18,18,1,51.52202,-0.15888,40
18,18,1,51.52242,-0.15628,41
18,18,1,51.52336,-0.14954,42
18,18,1,51.52376,-0.14703,43
18,18,1,51.52402,-0.14291,44
18,18,1,51.52491,-0.13952,45
18,18,1,51.5256,-0.13685,46
18,18,1,51.52666,-0.1329,47
18,18,2,51.52777,-0.1317,0
18,18,2,51.52651,-0.13289,1
18,18,2,51.52569,-0.13534,2
18,18,2,51.52522,-0.13671,3
18,18,2,51.52458,-0.13919,4
18,18,2,51.5239,-0.14387,5
18,18,2,51.52362,-0.14661,6
18,18,2,51.52317,-0.14957,7
18,18,2,51.52222,-0.15626,8
18,18,2,51.52184,-0.15871,9
18,18,2,51.52152,-0.16039,10
18,18,2,51.5205,-0.16651,11
18,18,2,51.51991,-0.16895,12
18,18,2,51.51978,-0.17164,13
18,18,2,51.51982,-0.17555,14
18,18,2,51.51973,-0.17842,15
18,18,2,51.51959,-0.18938,16
18,18,2,51.52093,-0.19214,17
18,18,2,51.52286,-0.19455,18
18,18,2,51.52378,-0.20031,19
18,18,2,51.52481,-0.20289,20
18,18,2,51.52633,-0.20684,21
18,18,2,51.52691,-0.21148,22
18,18,2,51.52748,-0.21496,23
18,18,2,51.52841,-0.21747,24
18,18,2,51.52984,-0.22353,25
18,18,2,51.53009,-0.22727,26
18,18,2,51.53211,-0.23317,27
18,18,2,51.53231,-0.23612,28
18,18,2,51.53289,-0.24019,29
18,18,2,51.53574,-0.24445,30
18,18,2,51.53603,-0.24771,31
18,18,2,51.539,-0.25109,32
18,18,2,51.54028,-0.25437,33
18,18,2,51.54129,-0.25774,34
18,18,2,51.54105,-0.26183,35
18,18,2,51.54252,-0.26748,36
18,18,2,51.54366,-0.27123,37
18,18,2,51.54594,-0.27352,38
18,18,2,51.54843,-0.27887,39
18,18,2,51.55025,-0.28209,40
18,18,2,51.55267,-0.28517,41
18,18,2,51.55365,-0.28999,42
18,18,2,51.55351,-0.2918,43
18,18,2,51.55224,-0.29779,44
18,18,2,51.55221,-0.30153,45
18,18,2,51.55157,-0.30754,46
18,18,2,51.55237,-0.31282,47
18,18,2,51.554166,-0.314914,48
24,24,1,51.48552,-0.14347,0
24,24,1,51.48521,-0.1415,1
24,24,1,51.48602,-0.13775,2
24,24,1,51.4876,-0.13839,3
24,24,1,51.48894,-0.13544,4
24,24,1,51.49049,-0.13866,5
24,24,1,51.49354,-0.14165,6
24,24,1,51.49566,-0.14303,7
24,24,1,51.49683,-0.14026,8
24,24,1,51.49742,-0.13663,9
24,24,1,51.49773,-0.1347,10
24,24,1,51.49903,-0.13099,11
24,24,1,51.50187,-0.12637,12
24,24,1,51.50405,-0.12641,13
24,24,1,51.50826,-0.12734,14
24,24,1,51.51059,-0.12853,15
24,24,1,51.51251,-0.12871,16
24,24,1,51.51434,-0.1298,17
24,24,1,51.51767,-0.13154,18
24,24,1,51.52113,-0.13505,19
24,24,1,51.52411,-0.13765,20
24,24,1,51.52594,-0.13868,21
24,24,1,51.52737,-0.13874,22
24,24,1,51.53403,-0.13932,23
24,24,1,51.53651,-0.14057,24
24,24,1,51.53843,-0.14234,25
24,24,1,51.54229,-0.14693,26
24,24,1,51.54427,-0.14932,27
24,24,1,51.54551,-0.15003,28
24,24,1,51.54653,-0.15129,29
24,24,1,51.54853,-0.1527,30
24,24,1,51.55075,-0.15628,31
24,24,1,51.55234,-0.15774,32
24,24,1,51.55327,-0.16092,33
24,24,1,51.55376,-0.16382,34
24,24,2,51.5547,-0.16496,0
24,24,2,51.55456,-0.1615,1
24,24,2,51.55356,-0.15872,2
24,24,2,51.55169,-0.15719,3
24,24,2,51.55032,-0.15397,4
24,24,2,51.54876,-0.15268,5
24,24,2,51.54642,-0.15099,6
24,24,2,51.54395,-0.14908,7
24,24,2,51.54288,-0.14355,8
24,24,2,51.54197,-0.14103,9
24,24,2,51.5398,-0.14135,10
24,24,2,51.53715,-0.13952,11
24,24,2,51.53344,-0.13862,12
24,24,2,51.53074,-0.1386,13
24,24,2,51.52707,-0.13852,14
24,24,2,51.52581,-0.13847,15
24,24,2,51.52257,-0.13608,16
24,24,2,51.52059,-0.13423,17
24,24,2,51.51807,-0.13158,18
24,24,2,51.51539,-0.12995,19
24,24,2,51.51341,-0.12921,20
24,24,2,51.51162,-0.12834,21
24,24,2,51.50985,-0.12787,22
24,24,2,51.50819,-0.12706,23
24,24,2,51.50631,-0.12705,24
24,24,2,51.50432,-0.12609,25
24,24,2,51.50248,-0.126,26
24,24,2,51.49758,-0.1348,27
24,24,2,51.49715,-0.13745,28
24,24,2,51.4966,-0.1411,29
24,24,2,51.496,-0.14227,30
24,24,2,51.49282,-0.14054,31
24,24,2,51.49076,-0.13884,32
24,24,2,51.489,-0.13516,33
24,24,2,51.48828,-0.13734,34
24,24,2,51.48792,-0.13961,35
24,24,2,51.48759,-0.14229,36
24,24,2,51.48672,-0.14522,37
24,24,2,51.48552,-0.14347,38
25,25,1,51.55932,0.07601,0
25,25,1,51.55785,0.07405,1
25,25,1,51.5584,0.07067,2
25,25,1,51.55736,0.06785,3
25,25,1,51.55528,0.06203,4
25,25,1,51.55447,0.05937,5
25,25,1,51.55338,0.05531,6
