Unnamed: 0,id,icsId,name,lat,lon
0.0,490G00000351,1000351,Marylebone Station,51.521531,-0.160371
1.0,490G00003444,1003444,Ashmore Road,51.524807,-0.202894
2.0,490G00004335,1004335,Bridgewater Road,51.55238,-0.312658
3.0,490G00005320,1005320,Westminster Academy / Cirencester Street,51.520878,-0.19182
4.0,490G00005491,1005491,Scrubs Lane,51.532383,-0.236348
5.0,490G00005583,1005583,Copland Avenue,51.551577,-0.307524
6.0,490G00005584,1005584,Cecil Avenue,51.553646,-0.289575
7.0,490G00005588,1005588,Ark Elvin Academy / Park Lane,51.553657,-0.292142
8.0,490G00005720,1005720,Craven Park,51.540338,-0.254773
9.0,490G00006299,1006299,Ealing Road,51.552226,-0.300764
10.0,490G00006832,1006832,Fifth Avenue / Queen's Park Library,51.526916,-0.211475
11.0,490G00006871,1006871,Flamsted Avenue,51.548617,-0.278355
12.0,490G00007666,1007666,Second Avenue,51.526377,-0.206797
13.0,490G00007803,1007803,Harlesden Jubilee Clock,51.536033,-0.247714
14.0,490G00007807,1007807,Harley Street,51.523366,-0.149543
15.0,490G00007865,1007865,Westminster Registration Office,51.523655,-0.199293
16.0,490G00008187,1008187,Park Parade,51.536937,-0.243223
17.0,490G00008711,1008711,Ladbroke Grove / Kilburn Lane,51.527491,-0.214942
18.0,490G00008865,1008865,Knatchbull Road,51.541081,-0.258797
19.0,490G00009981,1009981,Stonebridge Pk Stn   / Point Place,51.546562,-0.274337
20.0,490G00010332,1010332,North Circular Road,51.543743,-0.270953
21.0,490G00010713,1010713,Paddington Green Police Station,51.520131,-0.171511
22.0,490G00012788,1012788,St Mary's Cemetery,51.530643,-0.228919
23.0,490G00012803,1012803,St Mary's Road,51.539006,-0.251089
24.0,490G00012847,1012847,First Drive,51.542522,-0.267481
25.0,490G00012848,1012848,Shakespeare Road,51.541063,-0.261826
26.0,490G00013054,1013054,Sutherland Avenue,51.522862,-0.194553
27.0,490G00013797,1013797,Tring Avenue,51.550274,-0.281552
28.0,490G00014250,1014250,Bishops Bridge Road / Little Venice,51.520423,-0.179283
29.0,490G00014315,1014315,Waverley Avenue,51.552693,-0.284663
30.0,490G00014552,1014552,Hermitage Street,51.519834,-0.17553
31.0,490G00014962,1014962,Wrottesley Road,51.53211,-0.233173
32.0,490G00015040,1015040,Gloucester Place,51.521847,-0.158715
33.0,490G00019178,1019178,Kensal Green Cemetery,51.528317,-0.217259
34.0,490G00020147,1020147,University Coll Hosp / Warren St Stn,51.525222,-0.13671
35.0,490G000688,1010567,Old Marylebone Road,51.520503,-0.166509
36.0,910GSDBRYHR,1001282,Sudbury & Harrow Road Rail Station,51.554398,-0.315468
37.0,940GZZLUBST,1000011,Baker Street Underground Station,51.522883,-0.15713
38.0,940GZZLUERC,1000072,Edgware Road (Circle Line) Underground Station,51.519858,-0.167832
39.0,940GZZLUESQ,1000078,Euston Square Underground Station,51.525604,-0.135829
40.0,940GZZLUGPS,1000091,Great Portland Street Underground Station,51.52384,-0.144262
41.0,940GZZLURGP,1000191,Regent's Park Underground Station,51.523344,-0.146444
42.0,940GZZLURYO,1000196,Royal Oak Underground Station,51.519113,-0.188748
43.0,940GZZLUWRR,1000252,Warren Street Underground Station,51.524951,-0.138321
44.0,HUBEUS,1000077,Euston,51.527365,-0.132754
45.0,HUBKNL,1000122,Kensal Green,51.530545,-0.22505
46.0,HUBWIJ,1000271,Willesden Junction,51.532556,-0.243006
47.0,HUBWMB,1000256,Wembley Central,51.55232,-0.296642
1.0,490G000039,1000285,Old Marylebone Town Hall,51.52202,-0.158881
3.0,490G00005452,1005452,Sunny Crescent,51.543186,-0.269215
9.0,490G00006839,1006839,Fifth Avenue,51.527172,-0.212893
13.0,490G00008727,1008727,Kilburn Lane,51.528283,-0.216756
15.0,490G00009571,1009571,Tavistock Road,51.537135,-0.246273
18.0,490G00011135,1011135,Portnall Road,51.525765,-0.20437
23.0,490G00013363,1013363,Chaplin Road,51.551894,-0.310166
24.0,490G00013613,1013613,Third Avenue,51.52678,-0.209044
26.0,490G00013826,1013826,Nightingale Road,51.534386,-0.24224
27.0,490G00014076,1014076,Victor Road,51.531455,-0.231482
30.0,490G00014387,1014387,Wembley Triangle,51.553619,-0.28835
31.0,490G00014700,1014700,Berens Road,51.529185,-0.220484
32.0,490G00014975,1014975,Wyld Way,51.54725,-0.275291
33.0,490G00015473,1015473,Westbourne Terrace,51.519785,-0.186242
34.0,490G00018988,1018988,Great Western Road / Elgin Avenue,51.524711,-0.202494
35.0,490G00019834,1019834,West End Close,51.542135,-0.265592
36.0,490G000681,1010337,Stonebridge Park Stn   / Point Place,51.545553,-0.272962
39.0,940GZZLUERB,1000071,Edgware Road (Bakerloo) Underground Station,51.520299,-0.17015
0.0,490G00003025,1003025,Abbey Lane,51.533785,-0.007183
1.0,490G00003468,1003468,Atherton Leisure Centre,51.544428,0.015189
2.0,490G00004147,1004147,Booth Memorial,51.520366,-0.053132
3.0,490G00004815,1004815,Stratford High St / Carpenters Road,51.537349,-0.002572
4.0,490G00004985,1004985,Chapel Road,51.557696,0.070235
5.0,490G00006059,1006059,Dersingham Avenue,51.555277,0.062033
6.0,490G00006856,1006856,First Avenue,51.55188,0.050657
7.0,490G00006919,1006919,Woodgrange Road,51.546529,0.026849
8.0,490G00006936,1006936,Margery Park Road,51.545409,0.019328
9.0,490G00007341,1007341,Regents Canal,51.524353,-0.03709
10.0,490G00007497,1007497,Green Street,51.547098,0.031908
11.0,490G00007657,1007657,Hainault Street,51.559882,0.077317
12.0,490G00008466,1008466,Redbridge Central Library,51.558154,0.074353
13.0,490G00008603,1008603,Katherine Road,51.54741,0.035167
14.0,490G00009219,1009219,Little Ilford Lane,51.55447,0.059371
15.0,490G00009570,1009570,Rabbits Road,51.55302,0.054343
16.0,490G00010200,1010200,St Paul's Churchyard,51.512912,-0.096959
17.0,490G00010258,1010258,The East London Mosque,51.51819,-0.064525
18.0,490G00011315,1011315,Queen Mary / University Of London,51.523165,-0.039202
19.0,490G00012131,1012131,Shrewsbury Road,51.548162,0.039513
20.0,490G00012153,1012153,Sidney Street,51.519945,-0.055369
21.0,490G00012414,1012414,Sprowston Road,51.546148,0.022895
22.0,490G00012640,1012640,Fleet Street / City Thameslink,51.51489,-0.104717
23.0,490G00012648,1012648,Coborn Road,51.526061,-0.029563
24.0,490G00012783,1012783,St Mary Axe,51.513516,-0.082753
25.0,490G00012873,1012873,St Paul's Cathedral,51.513192,-0.097625
26.0,490G00012906,1012906,Stratford Centre,51.541262,0.002618
27.0,490G00014249,1014249,Warton Road,51.534656,-0.006554
28.0,490G00014269,1014269,Water Lane / University Of East London,51.542873,0.0099
29.0,490G00015508,1015508,Stepney Green,51.520864,-0.050617
30.0,490G00019767,1019767,City Thameslink Stn  / Ludgate Circus,51.514124,-0.103524
31.0,490G00020188,1020188,Ocean Estate,51.522254,-0.042269
32.0,490G000421,1004206,Bow Church,51.528416,-0.017221
33.0,490G000422,1004215,Bow Flyover,51.530316,-0.012078
34.0,490G000514,1006827,Altab Ali Park,51.51694,-0.067777
35.0,490G000596,1008189,High Street North,51.551123,0.048675
36.0,490G000604,1008465,Ilford Broadway,51.558379,0.070757
37.0,490G000747,1012217,Snow Hill,51.517832,-0.105374
38.0,490G000767,1012755,St Katharine Cree,51.513304,-0.07913
39.0,490G000793,1013541,Whitechapel Stn  / Royal London Hosp,51.516744,-0.062467
40.0,910GWDGRNPK,1001341,Woodgrange Park Rail Station,51.549264,0.044423
41.0,940GZZDLBOW,1002019,Bow Church DLR Station,51.527858,-0.020936
42.0,940GZZLUADE,1000004,Aldgate East Underground Station,51.515037,-0.072384
43.0,940GZZLUALD,1000003,Aldgate Underground Station,51.514246,-0.075689
44.0,940GZZLUBWR,1000029,Bow Road Underground Station,51.52694,-0.025128
45.0,940GZZLUMED,1000146,Mile End Underground Station,51.525122,-0.03364
46.0,940GZZLUSGN,1000220,Stepney Green Underground Station,51.521858,-0.046596
47.0,HUBBAN,1000013,Bank,51.513395,-0.089095
48.0,HUBSRA,1000226,Stratford,51.541508,-0.00241
14.0,490G00010328,1010328,North Circular Road,51.55601,0.063826
15.0,490G00010513,1010513,Bancroft Road / Ocean Estate,51.522232,-0.044749
17.0,490G00012005,1012005,Seventh Avenue,51.553636,0.055655
22.0,490G00013480,1013480,Litchfield Avenue,51.542337,0.004987
23.0,490G00014215,1014215,Stratford High St Stn  / Carpenters Rd,51.536891,-0.003659
26.0,490G00015079,1015079,Bishopsgate,51.513454,-0.084975
27.0,490G00015096,1015096,Holborn Circus,51.517535,-0.10651
32.0,490G000605,1008467,Ilford Hill,51.55816,0.068915
33.0,490G000621,1008748,King Edward Street,51.515719,-0.09984
34.0,490G000661,1009695,Marshgate Lane,51.531281,-0.0112
35.0,490G000672,1010199,New Change / Cannon Street,51.513512,-0.096257
37.0,490G000796,1013579,Whitechapel Stn   / Royal London Hosp,51.519417,-0.058779
38.0,910GCTMSLNK,1001067,City Thameslink Rail Station,51.513936,-0.10359
45.0,940GZZLUMSH,1000143,Mansion House Underground Station,51.512117,-0.094009
,490015832E,1015832,Grosvenor Road,51.48552,-0.14347
,490011003E,1015832,Grosvenor Road,51.48521,-0.1415
,490005367N,1005367,Claverton Street / Churchill Gardens,51.48602,-0.13775
,490011004N,1011004,Pimlico Academy & Library,51.4876,-0.13839
,490012708F,1012708,St George's Square / Pimlico Station,51.48894,-0.13544
,490003837N,1003837,Belgrave Road,51.49049,-0.13866
,490014259N,1014259,Warwick Way,51.49354,-0.14165
,490000248H,1000248,Victoria Station,51.49566,-0.14303
,490014496N,1014496,Westminster Cathedral,51.49683,-0.14026
,490003384SA,1003384,Westminster City Hall,51.49742,-0.13663
,490010260SC,1000221,St James's Park Station,51.49773,-0.1347
,490014495R,1014495,Westminster Abbey,51.49903,-0.13099
,490015048A,1020361,Westminster Stn  / Parliament Square,51.50187,-0.12637
,490008376N,1008376,Horse Guards Parade,51.50405,-0.12641
,490013767C,1013767,Trafalgar Sq / Charing Cross Stn,51.50826,-0.12734
,490000135A,1000135,Leicester Square Station,51.51059,-0.12853
,490004695N,1004695,Cambridge Circus,51.51251,-0.12871
,490004695A,1019157,Denmark Street,51.51434,-0.1298
,490000235C,1000235,Tottenham Court Road Station,51.51767,-0.13154
,490000089A,1000089,Goodge Street Station,51.52113,-0.13505
,490000252X,1000252,Warren Street Station,51.52411,-0.13765
,490000252S,1015042,Hampstead Road / Drummond Street,51.52594,-0.13868
,490010158N,1010158,Robert Street,51.52737,-0.13874
,490000152A,1000152,Mornington Crescent Station,51.53403,-0.13932
,490004714J,1004714,Camden High Street,51.53651,-0.14057
,490015041X,1000036,Camden Town Station,51.53843,-0.14234
,490007876O,1007876,Hartland Road / Camden Market,51.54229,-0.14693
,490006798CK,1006798,Ferdinand Street,51.54427,-0.14932
,490011200N,1011200,Prince of Wales Road,51.54551,-0.15003
,490012765N,1012765,Malden Road,51.54653,-0.15129
,490011330N,1011330,Queen's Crescent,51.54853,-0.1527
,490012651N,1012651,St Dominic's Priory,51.55075,-0.15628
,490009616N,1009204,Mansfield Road,51.55234,-0.15774
,490009017N,1009017,Lawn Road,51.55327,-0.16092
,490011760W,1011760,Royal Free Hospital,51.55376,-0.16382
,490012280A,1012280,South End Green,51.5547,-0.16496
,490005756E,1005756,Cressy Road,51.55456,-0.1615
,490009204E,1009204,Mansfield Road,51.55356,-0.15872
,490012651S,1012651,St Dominic's Priory,51.55169,-0.15719
,490011330S,1011344,Grafton Terrace,51.55032,-0.15397
,490011330S2,1011330,Queen's Crescent,51.54876,-0.15268
,490012765S,1011200,Prince of Wales Road,51.54642,-0.15099
,490006798CL,1006798,Ferdinand Street,51.54395,-0.14908
,490007927M,1007927,Hawley Road,51.54288,-0.14355
,490004713D,1004713,Camden Gardens,51.54197,-0.14103
,490000036S,1000036,Camden Town Station,51.5398,-0.14135
,490011168S2,1011168,Pratt Street,51.53715,-0.13952
,490000152C,1000152,Mornington Crescent Station,51.53344,-0.13862
,490012158S,1012158,Silverdale,51.53074,-0.1386
,490010158S,1002319,William Road,51.52707,-0.13852
,490015042U,1015047,Warren Street Station  / Euston Road,51.52581,-0.13847
,490002121ZT,1002121,Capper Street,51.52257,-0.13608
,490005084Z,1000089,Goodge Street Station,51.52059,-0.13423
,490002124ZZ,1002124,Stephen Street,51.51807,-0.13158
,490000235GX,1000235,Tottenham Court Road Station,51.51539,-0.12995
,490004695D,1004695,Cambridge Circus,51.51341,-0.12921
,490000135B,1000135,Leicester Square Station,51.51162,-0.12834
,490016161S,1016161,St Martin's Place,51.50985,-0.12787
,490013767D,1013767,Trafalgar Square / Charing Cross Stn,51.50819,-0.12706
,490014585N,1014585,Whitehall / Trafalgar Square,51.50631,-0.12705
,490008376S,1008376,Horse Guards Parade,51.50432,-0.12609
,490015048T,1020361,Westminster Stn  / Parliament Square,51.50248,-0.126
,490010260SD,1000221,St James's Park Station,51.49758,-0.1348
,490003384SB,1003384,Westminster City Hall,51.49715,-0.13745
,490014496M,1014502,Westminster Cathedral / Victoria Stn,51.4966,-0.1411
,490000248S,1000248,Victoria Station,51.496,-0.14227
,490014259S,1014259,Warwick Way,51.49282,-0.14054
,490003837S,1003837,Belgrave Road,51.49076,-0.13884
,490012708G,1012708,St George's Square / Pimlico Station,51.489,-0.13516
,490011004W,1011004,Pimlico Academy & Library,51.48828,-0.13734
,490003179S,1003179,Alderney Street,51.48792,-0.13961
,490014504W,1016309,Winchester Street,51.48759,-0.14229
,490014504S,1014504,Westmoreland Terrace,51.48672,-0.14522
,490010689OJ,1010689,Great Titchfield St / Oxford Circus Stn,51.51567,-0.13905
,490000235V,1000235,Tottenham Court Road Station,51.51638,-0.13195
,490000078Q,1000078,Euston Square Station,51.5256,-0.13685
,490000077D,1000077,Euston Station,51.52772,-0.13231
,490015700C,1009498,British Library,51.52903,-0.12661
,490000129E,1000129,King's Cross Station,51.5305,-0.12307
,490001172K,1019931,King's Cross Road,51.53111,-0.11856
,490005904E,1005904,Penton Rise,51.53131,-0.11577
,490010928E,1010942,Penton Street,51.53164,-0.11175
,490003650T,1003650,Baron Street / Chapel Market,51.53228,-0.10929
,490014603U,1014603,White Lion Street,51.53285,-0.10717
,490000007X,1000007,Angel Station,51.53396,-0.10558
,490008515C,1008515,Islington Green,51.53622,-0.10243
,490010709N,1010709,Packington Street,51.53761,-0.10031
,490005816N2,1005816,Cross Street,51.53831,-0.09948
,490001103N1,1001103,Essex Road Station,51.54005,-0.09694
,490010326EE,1010326,Northchurch Road,51.54248,-0.09225
,490010515N,1010515,Ockendon Road,51.54449,-0.08933
,490003569N1,1003570,Newington Green Road / Balls Pond Road,51.54704,-0.08691
,490003915N,1003915,Beresford Road,51.54966,-0.08716
,490015396NK,1015396,Newington Green,51.55169,-0.08572
,490005432S1,1005432,Clissold Crescent,51.5565,-0.08409
,490003591N,1003591,Barbauld Road,51.55836,-0.08247
,490003003N,1003003,Stoke Newington Town Hall,51.56062,-0.0835
,490004202E,1004202,Abney Park,51.56226,-0.07828
,490014699W,1014699,William Patten School,51.56208,-0.07458
,490005312N,1005312,Stoke Newington High St / Garnham Street,51.56233,-0.07369
,490010427D,1010427,Northwold Road / Stoke Newington Common,51.56297,-0.07187
,490012837J,1012837,Stoke Newington Common,51.56205,-0.06855
,490012837K,1012837,Stoke Newington Common,51.56086,-0.07032
,490004452U,1004452,Stoke Newington High Street,51.56065,-0.07344
,490014699V,1014699,William Patten School,51.56205,-0.07547
,490004202W,1004202,Abney Park,51.56218,-0.07801
,490012840W2,1003003,Stoke Newington Town Hall,51.56118,-0.08293
,490004808S,1003591,Barbauld Road,51.55893,-0.08243
,490005432S2,1005432,Clissold Crescent,51.55637,-0.08394
,490019676NB,1019676,Green Lanes,51.55248,-0.08518
,490015396S,1015396,Newington Green,51.55164,-0.08453
,490003915S,1003915,Beresford Road,51.5498,-0.0869
,490003569S2,1003569,Balls Pond Road,51.54721,-0.08663
,490009688S,1009688,Essex Road / Marquess Road,51.54558,-0.08768
,490010326S,1010326,Northchurch Road,51.54351,-0.09052
,490001103S1,1001103,Essex Road Station,51.5409,-0.09529
,490005816E,1005816,Cross Street,51.53821,-0.09938
,490010709S,1010709,Packington Street,51.53684,-0.10108
,490008515D,1008515,Islington Green,51.53576,-0.10317
,490000007F,1000007,Angel Station,51.53374,-0.10546
,490000007R,1018977,Pentonville Road / Baron Street,51.53178,-0.10776
,490010928W,1010928,Penton Street / Chapel Market,51.53164,-0.11044
,490005904W,1005904,Penton Rise,51.53121,-0.11531
,490001172X,1005909,King's Cross / Caledonian Road,51.53084,-0.12052
,490000129R,1000129,King's Cross Station,51.53047,-0.12169
,490004722A,1001276,St Pancras International Station,51.52946,-0.12499
,490009498W,1009498,British Library,51.52818,-0.12824
,490000077H,1000077,Euston Station,51.52651,-0.13289
,490000078P,1000078,Euston Square Station,51.52569,-0.13534
,4900020147W,1020147,University Coll Hosp / Warren St Stn,51.52522,-0.13671
,490000235YB,1000235,Tottenham Court Road Station,51.51609,-0.13407
,490010689KB,1010689,Great Titchfield St / Oxford Circus Stn,51.51547,-0.13992
